ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
2,1,1,3,2,3,3.156929340656705,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.4223446573918537,none-tertiary,level 3,CHL
1,1,1,4,4,4,3.9417263533985993,none-tertiary,level 2,CHL
1,1,1,4,4,3,4.1428489390617305,tertiary,level 3,CHL
1,1,1,3,3,2,4.037012768180125,none-tertiary,level 1,CHL
1,1,3,2,1,1,5.16759256260568,tertiary,level 0,CHL
1,1,1,4,4,3,4.047598151430956,tertiary,level 3,CHL
1,1,1,4,4,3,4.005254236043837,none-tertiary,level 2,CHL
1,1,1,4,3,4,3.061303103857383,none-tertiary,level 2,CHL
1,1,3,3,1,1,1.2339601279795656,none-tertiary,level 0,CHL
1,1,1,1,1,1,1.3953095733143446,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.0507291008698179,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.571848227309226,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.3159653141130963,none-tertiary,level 3,CHL
1,2,1,4,4,4,2.155835773822917,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.284366885505105,none-tertiary,level 3,CHL
1,1,1,4,4,4,2.8486454766500016,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.1370078837268036,none-tertiary,level 2,CHL
1,2,1,3,3,3,0.9859539548391201,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.7600918793340083,none-tertiary,level 2,CHL
1,1,2,3,3,3,2.454615997620502,none-tertiary,level 1,CHL
1,2,1,1,2,1,0.8670382622875157,none-tertiary,level 0,CHL
2,1,1,4,4,4,2.198553092196753,none-tertiary,level 2,CHL
2,1,2,4,3,1,1.4597729695208665,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.251933104759863,none-tertiary,level 2,CHL
1,1,1,1,1,1,1.9634544888806744,none-tertiary,level 0,CHL
1,1,1,4,1,4,3.199416541421967,none-tertiary,level 0,CHL
1,3,3,3,3,3,1.7493796054903816,none-tertiary,level 0,CHL
3,2,3,4,1,2,2.155835773822917,none-tertiary,level 1,CHL
1,1,1,4,3,4,1.8671643512576035,none-tertiary,level 1,CHL
1,1,1,2,2,2,3.0187889366420837,none-tertiary,level 1,CHL
1,1,1,3,3,1,4.206332050085645,tertiary,level 1,CHL
1,1,1,4,4,4,4.819326370710989,tertiary,level 1,CHL
2,2,1,3,3,3,1.7815136401298277,none-tertiary,level 2,CHL
1,1,1,3,3,4,0.8670382622875157,none-tertiary,level 2,CHL
1,1,1,4,4,4,4.195752487229731,tertiary,level 3,CHL
1,1,1,3,2,1,3.7404570603287604,none-tertiary,level 1,CHL
1,1,1,3,3,3,3.9629039272384707,tertiary,level 1,CHL
1,1,1,4,4,4,4.523546515328017,tertiary,level 3,CHL
1,1,1,4,4,4,3.698065136402141,tertiary,level 2,CHL
1,1,1,4,4,1,2.816727670337554,none-tertiary,level 2,CHL
1,1,1,4,3,4,2.816727670337554,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.7616504450223407,tertiary,level 3,CHL
1,1,1,4,1,4,3.8146264693094425,tertiary,level 2,CHL
1,1,1,4,4,4,2.6890041741308788,none-tertiary,level 2,CHL
1,1,2,3,3,1,4.17459221772722,tertiary,level 1,CHL
1,1,1,4,4,4,3.6132603847605242,tertiary,level 1,CHL
1,1,1,4,4,4,4.322682378169567,tertiary,level 3,CHL
1,1,1,2,1,1,2.59315487813191,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.9527589759479738,none-tertiary,level 2,CHL
1,1,1,2,4,4,2.806087256667599,none-tertiary,level 2,CHL
1,1,1,3,4,3,1.5993066033665273,none-tertiary,level 1,CHL
1,1,1,4,4,2,4.491839739614147,tertiary,level 3,CHL
2,1,2,3,3,1,4.491839739614147,tertiary,level 3,CHL
1,4,4,1,1,1,3.0294182753214134,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.4168020029158923,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.11443397302246,tertiary,level 3,CHL
1,1,1,1,1,1,3.9099569432592176,tertiary,level 1,CHL
1,1,1,3,4,3,4.819326370710989,tertiary,level 2,CHL
1,1,1,4,4,4,3.4541742852633943,none-tertiary,level 3,CHL
2,1,2,3,3,3,3.4117338439319527,tertiary,level 3,CHL
1,1,1,4,4,3,3.2206571142018205,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.219907293241243,none-tertiary,level 3,CHL
1,1,1,4,4,4,3.2418956868544537,tertiary,level 3,CHL
1,1,1,4,4,4,2.986897706099148,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.719261960806152,none-tertiary,level 3,CHL
1,1,1,4,4,4,2.102422094049903,none-tertiary,level 2,CHL
1,1,1,3,3,4,4.037012768180125,none-tertiary,level 1,CHL
