ID;sexo;edad;ocupa;reli;sexismo1;sexismo2;sexismo3;sexismo4;conogay;conoles;amigay;amiles;afe1gay;afe2gay;afe3gay;afe4gay;afe1les;afe2les;afe3les;afe4les;homo1gay;homo2gay;homo3gay;homo4gay;homo5gay;homo6gay;homo7gay;homo1les;homo2les;homo3les;homo4les;homo5les;homo6les;homo7les;int1gay;int2gay;int3gay;int4gay;int1les;int2les;int3les;int4les;DD01_01;DD01_02;DD02_01;DD02_02
324;0;-99;1;2;4;4;3;3;2;6;3;4;2;3;4;2;4;2;3;3;4;3;3;4;4;3;3;3;2;4;3;2;3;3;4;3;4;2;4;3;4;3;3;4;4;4
585;1;24;1;5;2;2;2;2;6;3;2;1;2;4;3;3;2;4;4;4;1;2;1;1;1;2;2;1;1;2;1;1;2;1;3;3;3;3;3;3;3;3;4;4;4;4
108;0;23;1;3;2;4;2;4;0;1;0;1;2;3;2;2;4;4;4;3;2;2;2;4;2;3;5;2;2;4;4;2;2;4;2;2;2;2;3;3;3;3;4;2;4;4
866;0;20;1;4;5;2;4;3;1;0;0;0;2;4;1;1;1;4;1;1;1;3;5;4;5;5;5;1;2;5;5;5;5;5;1;1;1;1;1;1;1;1;3;1;5;2
631;0;19;1;6;1;1;1;4;2;0;0;0;2;1;2;3;4;4;4;4;3;2;3;2;2;4;3;2;1;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4
791;0;19;1;2;3;4;2;3;0;0;1;0;2;5;3;4;5;5;3;5;2;1;5;5;5;3;5;2;2;5;5;5;3;5;3;4;3;3;3;4;3;3;5;5;5;5
841;0;19;1;1;4;5;3;4;0;3;0;1;2;2;3;2;3;4;3;3;4;4;5;5;4;5;4;1;1;4;4;5;5;3;4;3;4;2;3;4;3;4;4;1;4;5
481;1;18;1;6;2;2;1;1;5;2;0;2;2;4;3;2;4;4;4;3;5;5;5;4;5;5;4;4;5;5;4;5;5;3;2;2;2;1;3;3;1;3;1;1;1;4
50;0;24;1;5;2;2;3;3;0;2;0;2;3;4;4;3;4;4;4;4;5;2;5;4;4;5;4;5;2;5;5;5;5;5;4;3;3;3;4;3;3;3;2;2;1;5
153;1;25;1;6;1;5;1;1;4;0;3;0;3;5;3;3;3;5;3;3;1;1;1;1;3;3;1;1;1;1;1;4;3;1;3;3;3;3;3;3;3;3;-99;-99;-99;-99
218;1;20;1;7;5;4;1;5;1;1;1;0;3;3;3;2;1;3;3;3;5;5;5;1;5;1;5;1;1;5;5;5;1;1;4;4;4;3;4;4;4;3;1;1;4;1
876;0;20;1;2;1;4;4;1;5;5;5;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
675;1;25;3;1;4;3;2;3;2;3;1;2;3;4;4;4;4;4;3;4;4;3;4;2;3;3;3;3;2;3;4;4;2;3;3;4;3;4;4;4;3;2;4;4;3;4
