ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
1,1,1,4,1,4,0.85,tertiary,level 2,CHL
1,1,1,4,4,4,-0.21,none-tertiary,level 2,CHL
1,1,2,3,3,1,1.19,tertiary,level 1,CHL
1,1,1,4,4,4,0.66,tertiary,level 1,CHL
1,1,1,4,4,4,1.33,tertiary,level 3,CHL
1,1,1,2,1,1,-0.3,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.9,none-tertiary,level 2,CHL
1,1,1,2,4,4,-0.1,none-tertiary,level 2,CHL
1,1,1,3,4,3,-1.23,none-tertiary,level 1,CHL
1,1,1,4,4,2,1.49,tertiary,level 3,CHL
2,1,2,3,3,1,1.49,tertiary,level 3,CHL
1,4,4,1,1,1,0.11,none-tertiary,level 1,CHL
1,1,1,4,4,4,-1.4,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.19,tertiary,level 3,CHL
1,1,1,1,1,1,0.94,tertiary,level 1,CHL
1,1,1,3,4,3,1.8,tertiary,level 2,CHL
1,1,1,4,4,4,0.51,none-tertiary,level 3,CHL
2,1,2,3,3,3,0.47,tertiary,level 3,CHL
1,1,1,4,4,3,0.29,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.65,none-tertiary,level 3,CHL
1,1,1,4,4,4,0.31,tertiary,level 3,CHL
1,1,1,4,4,4,0.07,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.76,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.76,none-tertiary,level 2,CHL
1,1,1,3,3,4,1.06,none-tertiary,level 1,CHL
1,1,2,4,4,4,-0.74,none-tertiary,level 2,CHL
1,1,1,3,4,4,0.98,none-tertiary,level 3,CHL
2,2,2,3,3,3,-0.59,none-tertiary,level 3,CHL
2,2,2,2,2,2,-1.83,none-tertiary,level 0,CHL
1,1,1,4,4,4,0.35,none-tertiary,level 3,CHL
1,1,1,4,4,4,-1.18,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.15,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.06,none-tertiary,level 3,CHL
1,1,1,3,3,2,0.1,tertiary,level 3,CHL
1,1,1,4,4,4,0.93,none-tertiary,level 0,CHL
2,2,2,4,4,4,1.72,tertiary,level 2,CHL
1,1,1,4,4,4,-0.93,none-tertiary,level 3,CHL
1,1,1,4,1,4,0.16,tertiary,level 2,CHL
1,1,1,3,3,3,-0.59,none-tertiary,level 1,CHL
2,2,2,4,4,2,0.31,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.92,none-tertiary,level 2,CHL
2,3,1,4,4,4,0.24,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.17,none-tertiary,level 2,CHL
2,2,1,3,3,3,-0.69,none-tertiary,level 2,CHL
1,1,1,4,4,4,-1.5,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.96,tertiary,level 2,CHL
2,2,2,3,3,3,0.69,none-tertiary,level 2,CHL
2,1,1,3,4,4,-0.65,none-tertiary,level 1,CHL
1,1,1,4,4,4,-1.91,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.23,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.05,none-tertiary,level 2,CHL
1,2,1,3,3,3,-0.46,none-tertiary,level 3,CHL
1,1,1,4,2,3,1.97,tertiary,level 3,CHL
2,2,2,3,2,2,-0.03,tertiary,level 0,CHL
1,2,1,3,3,2,1.44,tertiary,level 2,CHL
2,2,1,2,2,1,-0.4,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.27,none-tertiary,level 2,CHL
1,1,1,3,3,3,-0.52,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.26,none-tertiary,level 2,CHL
2,2,1,4,3,3,0.35,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.67,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.49,tertiary,level 3,CHL
1,1,1,4,4,4,-0.7,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.45,none-tertiary,level 3,CHL
1,1,1,3,3,3,-0.4,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.32,none-tertiary,level 1,CHL
1,1,1,4,1,3,0.81,none-tertiary,level 3,CHL
1,1,1,4,4,3,-0.46,none-tertiary,level 2,CHL
1,1,1,4,3,4,-0.57,none-tertiary,level 3,CHL
1,1,1,3,3,3,0.54,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.06,none-tertiary,level 2,CHL
1,1,1,4,4,2,0.76,none-tertiary,level 2,CHL
1,1,1,4,4,3,-0.12,none-tertiary,level 2,CHL
1,1,1,4,4,3,-0.37,none-tertiary,level 3,CHL
1,1,1,4,4,1,1.63,tertiary,level 2,CHL
1,1,1,4,4,4,-0.5,none-tertiary,level 3,CHL
