id,idcntry,mat,len,cie,dep,rur,sex,age,edm,edp,s01,s02,s03,s04,s05,s06,s07,b01,b02,b03,b04,b05,b06,b07,b08,bok,am1,am2,am3,as1,as2,as3,re1,re2,re3,re4,re5,re6,re7,ma1,ma2,ma3,ma4,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,rep,v01,v02,v03,v04,v05,v06
15261460119,152,694.450952545372,726.518530377495,664.221162044796,1,0,1,14,NA,NA,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,3,2,3,1,2,1,3,3,3,2,2,2,2,2,3,3,3,2,3,3,3,2,1,2,2,1,2,2,3,3,0,0,1,1,1,1
15260280130,152,641.82099337517,759.400762135943,753.317023249181,0,0,0,12,NA,NA,1,1,1,0,1,1,1,3,2,1,1,1,1,3,1,6,3,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,1,0,0,0,0,0,0
15260260136,152,825.863996733009,805.359816580475,699.967567110936,0,0,1,12,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,4,2,3,2,2,2,2,2,3,3,2,3,3,2,3,3,3,2,2,1,3,3,3,2,2,2,2,1,3,2,1,0,0,0,0,0,0
15261750323,152,880.048283566667,869.013854639774,891.776101262241,1,0,1,12,NA,NA,1,1,1,1,1,1,1,3,2,1,1,1,0,3,2,6,3,2,2,1,1,1,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,NA,2,2,3,2,3,1,0,0,0,0,0,0
15260780129,152,720.416838815629,819.979720118117,735.419712752912,0,1,1,11,1,2,1,0,1,0,0,1,0,0,1,2,1,1,3,0,0,6,2,2,1,1,1,1,3,3,2,2,2,2,3,3,3,3,3,3,1,3,3,2,2,2,2,1,2,2,3,1,0,0,0,0,0,0
15260280121,152,769.889329752686,723.963949505516,675.696447191491,0,0,1,12,3,3,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,2,2,3,1,1,1,1,3,3,3,3,2,2,2,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,1,1,1,0,1,0,0
15261110109,152,786.576629165057,810.175991931238,774.09406277467,1,0,1,12,6,6,1,1,1,0,1,1,0,3,2,1,2,1,0,3,2,6,3,2,1,1,1,1,1,2,2,2,3,2,2,3,3,2,3,3,2,2,3,3,2,2,3,1,3,2,3,1,0,0,0,0,0,0
15230010121,152,690.341668953899,551.697882718171,600.385326977151,0,0,1,15,6,6,1,1,1,1,1,1,0,3,2,3,1,1,NA,NA,0,5,2,2,2,2,2,1,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,NA,NA,NA,NA,NA,NA
15260880111,152,817.002471806403,834.710937142608,795.69693553946,1,0,1,12,5,5,1,1,1,1,1,1,1,3,3,3,2,2,0,3,2,6,2,3,2,2,3,2,3,3,2,2,3,3,3,2,NA,3,2,2,3,2,3,2,3,2,2,3,3,2,2,1,0,0,0,0,0,0
15261060205,152,916.031434716938,922.415352957761,803.765730168858,1,0,1,13,4,4,1,1,1,1,1,1,1,2,3,3,1,1,0,3,3,6,2,3,2,1,1,2,1,3,3,2,2,2,3,3,3,3,2,3,2,3,3,3,1,2,2,2,3,2,3,1,0,0,0,0,0,0
