FOLIO,IDG1,IDG2,IGD3,IDG4,ID5,SV,ACT1,ACT2,ACT3,ACT4,ACT5,DIS1,DIS2,DIS3,DIS4,DIS5,AM1,AM2,AM3,AM4,AM5,C1,C2,C3,C4,C5,EN1,EN2,EN3,EN4,EN5,EP1,EP2,EP3,EP4,EP5,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,SEXO,EDAD,NIVED,ESTCIV,PP,PO,ING,REL,FREL
1457,4,3,2,5,4,10,3,4,2,2,4,3,3,4,2,3,1,1,1,1,1,2,2,1,1,1, , ,1,1,1, , ,3,4,4,2,2,2,2,2,2,2,2,2,2,2,1,57,7,1,5,10,99,1,2
1458,4,4,2,4,2,8,3,3,3,3,3,5,5,2,2,2,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,38,7,1,99,10, ,1,2
1459,4,4,2,4,4,8,5,5,5,5,5,5,3,2,3,3,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,57,5,1,99,10, ,1,2
1460,4,4,2,4,4,99,4,4,4,4,4,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,42,5,1,99,10, ,3,7
1471,2,3,4,4,3,8,1,4,4,4,4,5,5,5,5,4,5,3,3,3,3,2,1,1,1,1, ,1,1,1,1, ,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,44,7,5,5,10, ,1,1
1472,4,5,1,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,2,19,7,3,99,10, ,1,1
1473,4,4,2,4,4,7,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,2,1,1,9,1,5,4,4,9,4,2,2,2,2,2,2,2,2,2,2,2,2,65,3,1,5,10, ,9, 
1474,5,5,2,3,4,7,1,2,4,4,4,4,4,4,3,3,4,2,1,1,1,2,1,1,1,1, ,1,1,1,1, ,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,27,4,3,4,10, ,9, 
1475,5,4,3,3,4,8,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,61,5,4,7,10, ,1,1
2371,4,4,2,4,4,10,3,3,4,3,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,27,5,2,99,10, ,1,3
2372,4,4,2,4,4,10,4,4,4,4,4,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,19,4,3,99,10, ,1,6
2373,4,2,2,3,4,7,4,4,4,4,4,4,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,1,2,2,2,2,2,2,1,21,6,3,5,4, ,9, 
2374,4,4,2,4,4,10,3,4,4,3,4,5,4,3,1,1,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,24,4,3,99,10, ,2,1
2375,4,4,3,4,4,8,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,47,5,1,99,10, ,3,7
1476,4,4,1,5,5,6,4,4,4,4,3,2,1,2,1,3,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,1,49,8,1,99,10,7,1,2
