ID,affo1,affo2,affo3,outt1,outt2,outt3,famn1,famn2,famn3,clan1,clan2,clan3,natic1,natic2,natic3,idma1,idma2,idma3,qous1,qous2,qous3,qous4,qous5,goufr,ethnia,sex,region,age
157,5,5,-99,5,3,5,6,6,6,6,6,6,7,7,7,5,4,5,7,7,7,7,6,10,MAP,1,2,15
158,6,6,6,5,-99,6,6,4,3,4,3,3,5,5,7,2,1,1,7,7,7,7,7,10,MAP,2,2,16
159,6,3,4,3,3,7,4,4,4,4,4,4,5,6,3,7,6,7,5,5,5,5,5,5,MAP,1,2,14
160,5,4,-99,4,1,4,5,2,4,4,4,4,4,6,6,4,5,4,4,4,4,5,4,4,MAP,1,2,15
161,5,5,6,5,4,4,-99,5,4,4,5,3,4,4,3,7,7,7,6,6,6,6,6,10,MAP,2,1,15
162,5,2,3,1,7,4,5,5,5,5,1,1,5,5,6,5,5,5,2,5,5,7,7,9,MAP,1,1,15
163,7,5,7,1,1,1,7,-99,7,7,-99,6,6,6,7,5,4,4,7,7,7,7,7,10,MAP,2,1,14
164,4,4,4,3,3,2,6,5,2,3,3,2,5,5,6,4,2,2,5,5,-99,-99,4,3,MAP,1,2,14
165,7,1,1,1,1,1,1,1,1,1,1,1,3,3,5,4,4,4,6,7,7,-99,7,10,MAP,2,1,14
166,4,5,4,4,5,5,2,2,4,3,3,2,7,-99,7,2,3,1,4,4,4,4,4,1,MAP,1,1,15
167,-99,1,4,7,7,7,4,5,3,4,1,3,6,7,6,7,7,7,4,5,3,6,4,10,MAP,1,2,14
168,6,-99,5,6,1,5,6,6,6,6,6,6,-99,6,7,5,4,5,5,5,5,2,5,6,MAP,2,2,15
169,6,4,4,5,4,5,6,6,6,6,6,6,4,6,4,5,5,5,5,6,6,6,6,10,MAP,1,2,15
170,7,4,6,7,3,5,6,6,5,4,6,4,3,5,4,2,2,2,3,5,5,-99,6,6,MAP,1,2,15
171,4,3,4,4,6,2,3,-99,4,3,4,3,-99,5,5,2,6,7,3,3,2,4,6,10,MAP,1,2,14
172,6,-99,3,5,5,4,4,4,4,4,4,4,1,1,1,6,2,3,6,4,5,5,4,10,MAP,2,2,15
173,7,4,5,6,6,6,4,-99,4,4,4,4,5,5,5,1,1,1,1,1,1,1,1,10,MAP,2,2,15
174,7,1,7,5,5,5,7,7,7,1,1,1,7,7,7,1,1,1,3,4,5,6,7,10,MAP,1,2,14
175,6,5,-99,4,3,3,6,7,-99,3,2,2,3,4,6,6,3,2,4,4,3,7,7,10,MAP,1,2,14
176,7,-99,6,6,-99,6,5,6,6,6,5,4,-99,7,6,6,6,-99,5,6,6,6,7,7,MAP,1,2,15
177,4,3,4,4,5,4,4,4,4,4,-99,5,4,4,4,7,4,4,-99,4,4,5,4,-99,MAP,2,2,15
178,6,2,4,6,5,6,5,4,4,4,3,5,5,5,5,3,3,3,7,7,7,7,7,10,MAP,2,2,14
179,6,5,6,6,5,6,6,5,6,6,6,5,-99,6,6,5,2,1,5,5,4,5,4,0,MAP,1,2,15
180,5,4,4,2,1,5,6,6,4,5,5,5,-99,5,7,-99,2,1,7,7,7,7,7,3,MAP,2,2,15
181,7,3,7,4,4,4,7,4,7,4,-99,4,2,-99,3,7,7,7,4,4,4,4,4,10,MAP,1,1,14
182,7,1,6,7,2,7,1,1,1,1,1,1,7,7,7,6,5,6,4,7,7,7,-99,8,MAP,1,2,15
183,6,5,4,4,3,5,5,-99,4,4,4,4,7,7,7,4,4,-99,4,4,-99,5,5,10,MAP,1,2,15
184,6,2,5,5,-99,4,4,6,4,5,6,5,7,7,7,6,5,3,5,5,7,-99,7,10,MAP,1,2,15
185,-99,1,4,4,4,2,4,4,4,4,4,4,5,5,7,7,5,4,5,5,7,-99,5,10,MAP,1,2,15
